"text","staff","amenities","food/drinks","cleanliness","location"
"Great location  fair prices  nice staff.",1,0,0,0,1
"We stayed in this same area 14 years ago but couldnt find the bb so opted for the Lorimar.",0,0,0,0,1
"We were so happy the next day to find a nice bb nearby.",0,0,0,0,1
"Paint peeling off the walls only one bare light bulb all others missing No Toilet paper in the room and checked in late so did not want to try to get staff again.",0,0,0,0,0
"Mattress was stained with ???",0,0,0,0,0
"We slept on top of bedding as afraid of bugs mold on walls plaster falling off walls room tucked down a dark dirty hallway.",0,0,0,0,0
"Hotel Lorimar is located in a great part of town with easy access to excellent beaches and walking distance to many restaurants and local shops.",0,0,0,0,1
"The staff was very friendly accommodating and provided helpful information about the area.",1,0,0,0,1
"4 days stay was OK nice neighborhood close to downtown are and one block from the harbor.",0,0,0,0,0
"Clean everyday towels and friendly service.",1,0,0,1,0
"Great location but the hotel is a little tired.",0,0,0,0,1
"Dinner was excellent and the roads are great for biking.",0,0,1,0,0
"Very nice and clean family run hotel Amazing surrounding  Nice and gig rooms  Really quite area",0,0,0,1,1
"Some fittings are slightly dated but overall standard is quite high even more so for the area.",0,0,0,0,1
"The hotel was nice and comfortable but the bar and dining area were a bit stuffy for a casual weekend away.",0,0,1,0,1
"We only stayed one evening but the staff was very welcoming and helpful.",1,0,0,0,0
"It is a quick 2km walk into La Roche on a lovely path but the staff were quick to point out it was not appropriate for our return back after a concert -- perfectly safe but no lights.",1,0,0,0,1
"clean out the main area.",0,0,0,-1,-1
"language for the staff breakfast needs to be improved",-1,0,-1,0,0
"Clean comfortable place with very handy location for visiting Cinque Terre and nice outlook over the bay.",0,0,0,1,1
"We did not have a problem with the hotel except that it was too far from train station to walk and the taxi ride was too expensive-about 10 Euros.",0,0,0,0,1
"A short drive to Porto Venere which is very nice as well as a short train ride to Cinque Terre.",0,0,0,0,1
"Friendly helpful people.",1,0,0,0,0
"Room was spotless.",0,0,0,1,0
"The room was clean but old.",0,0,0,0,0
"I am sure it is wonderful in the summer  great location.",0,0,0,0,1
"We are lifelong visitors with family in the area but needed more beds for the weekend.",0,0,0,0,-1
"very happywill stay again for sure.Staff was friendly",1,0,0,0,0
"Very clean friendly staff.",1,0,0,1,0
"A nice small place to stay",1,0,1,0,1
"Great location with friendly staff that feels like coming home at night rather than a cookie cutter motel.",1,0,0,0,1
"Rooms are very clean modern and comfortable.",0,0,0,1,0
"There is a lot to do in area for children and adults.",0,0,0,0,1
"Clean comfortable and welcoming.",0,0,0,1,0
"Loved the location of it beautiful views  near everything you could think of.",0,0,0,0,1
"It was extremely clean the beds were comfortable the sheets were awesome pillows comfortable the room was recently updated.",0,0,0,1,0
"Clean and comfortable!",0,0,0,1,0
"Very easy check in with excellent staff!! !",1,0,0,0,0
"Although the rooms are  not as large as the chains ours was quite comfortable clean and well designed.",0,0,0,1,0
"The staff could not have been kinder the room was quiet and charming.",1,0,0,0,0
"My husband and I just wanted a little weekend get away and this was perfect.",1,0,0,0,1
"The room was more rustic than I had thought but clean and surprisingly spacious.",0,0,0,1,0
"The place was clean but very out dated.",0,0,0,0,0
"What a beautiful room we walked into after meeting such a friendly receptionist that checked us in quickly!",1,0,0,0,1
"This was a great location near the Bank of NH Pavilion.",0,0,0,0,1
"The pool area was above average and had beautiful views.",0,0,0,0,1
"great location to stay as we were seeing a concert at the Bank of NH Pavilion just 3 miles away",0,0,0,0,0
"Over all nice place and friendly desk.",1,0,0,0,0
"Nice clean indoor pool.",0,0,0,1,0
"Taxi services were very limited while concerts going on at Bank Pavillion",0,0,0,0,0
"Hotel room was DIRTY.",0,0,0,0,0
"This was not mentioned when the reservation was made however it was quiet and clean.",0,0,0,1,0
"So many things must be excused but the breakfast was lousy.",0,0,0,0,0
"There were toasters but no bread to be toasted no egs in any form raisin bran partly powdered.",0,0,0,0,0
"Some healthy options at breakfast but nothing warm - much less hot.",0,0,0,0,0
"Ice machines do not work and are located on every other floor.",0,0,0,0,0
"Good location staff was nice.",1,0,0,0,1
"Room smelled like smoke though the hotel is currently no smoking it had to have been at one time.",0,0,0,0,0
"Breakfast was way too early... ",0,0,-1,0,0
"Have to eat food in lobby.",0,0,0,0,0
"No updates have been made to this location for at least 10-15 years.....very outdated peeling wallpaper in the bathroom.",0,0,0,0,0
"This hotel is decent not sparkling clean but ok!",0,0,0,0,0
"Then someone entered room after I had checked in because they did not notify staff the room had been cleaned.",0,0,0,0,0
"No coffee in room.",0,0,0,0,0
"This was a lovely location with a nice sandy beach front lush green grounds and near to great eateries.",0,0,0,0,0
"Good breakfast room all included is a plus.",0,0,1,0,0
"The area we stayed in was good - The Inn.",0,0,0,0,0
"Breakfast was good- big selection.",0,0,1,0,0
"Front desk staff was fantastic and very helpful!",1,0,0,0,0
"Could use a full time restaurant and a tea and coffee bar all day!",0,0,1,0,0
"The continental breakfast was nice.",0,0,1,0,0
"Aside from being evacuated from the building at 6AM due to a faulty smoke detector or some other sort of false alarm it was a nice stay.",0,0,0,0,0
"The pool lobby/bar and hot tub were awesome.",0,0,1,0,0
"Great location.",0,0,0,0,1
"Close to beach...nice place..bar on water...beautiful view...bed a little hard..",0,0,1,0,0
"beautiful beach and out door bar.",0,0,0,0,0
"Love the beach access and outside bar and restaurant.",0,0,-1,0,0
"Very generous and selective complimentary breakfast.",0,0,1,0,0
"Room was nice and clean.",0,0,0,1,0
"Easy access plenty of parking nice pool nice Beach Bar had a great time.",0,0,1,0,0
"Hotel was ok. Carpets stained runned down looking.",0,0,0,0,0
"Stained sheets staff didnt care",0,0,0,0,0
"Nice location!!!",0,0,0,0,1
"older cottages but they are clean and reasonably priced.",0,0,0,1,0
"very happy with communication and special need to park boat trailer with access to plug in battery charger.",1,0,0,0,1
"Cottage was clean.",0,0,0,1,0
"Coffee pot had old coffee and mold in the coffee basket.",0,0,0,0,0
"No one came in after first night to see message about coffee pot so we were unable to have coffee at all.",0,0,0,0,0
"Very noisy location.",0,0,0,0,0
"I enjoyed the service of the staff as well as the room itself.",1,0,0,0,0
"Room smelled musty",0,0,0,0,0
"My only complaint is that there is what looks like dog fur on both pillow cases and that makes me wonder if they were even changed/cleaned between guests.",0,0,0,1,0
"Otherwise the room appears very clean.",0,0,0,1,0
"There were bugs in our room and staff were rude and not helpful",0,0,0,0,0
"Staff was rude not helpful.",0,0,0,0,0
"we found a cockroach in our room and I brought it to the manager Heather and she confirmed it was a roach and said we must have brought it to the hotel or it came from outside.",0,0,0,0,0
